issn_id,collection,subject_area
0001-3714,,Ciências Agrárias
0001-3714,,Ciências Biológicas
0001-3765,,Ciências Agrárias
0001-3765,,Ciências Biológicas
0001-3765,,Ciências Exatas e da Terra
0001-3765,,Ciências Humanas
0001-3765,,Ciências da Saúde
0001-3765,,Engenharias
0001-6002,,Ciências Humanas
0001-6002,,Ciências da Saúde
0001-6365,,Ciências da Saúde
0002-0591,,Ciências Humanas
0002-192X,,Ciências Agrárias
0002-7014,,Ciências Exatas e da Terra
0003-2573,,Ciências Humanas
0003-2573,,Ciências Sociais Aplicadas
0003-3170,,Ciências da Saúde
0004-0592,,Ciências da Saúde
0004-0614,,Ciências da Saúde
0004-0622,,Ciências da Saúde
0004-0649,,Ciências da Saúde
0004-2730,,Ciências da Saúde
0004-2749,,Ciências da Saúde
0004-2803,,Ciências da Saúde
0004-282X,,Ciências da Saúde
0004-4822,,Ciências Exatas e da Terra
0006-8241,,Ciências Exatas e da Terra
0006-8705,,Ciências Agrárias
0011-1503,,Ciências Humanas
0011-5258,,Ciências Humanas
0011-6793,,Ciências Biológicas
0011-8516,,Ciências Biológicas
0011-8516,,Ciências da Saúde
0012-7353,,Engenharias
0016-3503,,Ciências da Saúde
0016-3813,,Ciências da Saúde
0016-7169,,Ciências Exatas e da Terra
0018-229X,,Ciências Humanas
0020-3874,,Ciências Humanas
0021-7557,,Ciências da Saúde
0025-7680,,Ciências da Saúde
0026-1742,,Ciências da Saúde
0028-3746,,Ciências da Saúde
0030-2465,,Ciências Agrárias
0030-2465,,Ciências Biológicas
0031-1049,,Ciências Biológicas
0034-7094,,Ciências da Saúde
0034-7108,,Ciências Biológicas
0034-7140,,Ciências Sociais Aplicadas
0034-7167,,Ciências da Saúde
0034-7280,,Ciências da Saúde
0034-7299,,Ciências da Saúde
0034-7329,,Ciências Humanas
0034-737X,,Ciências Agrárias
0034-737X,,Ciências Biológicas
0034-7418,,Ciências da Saúde
0034-7426,,Ciências Exatas e da Terra
0034-7434,,Ciências da Saúde
0034-7450,,Ciências da Saúde
0034-7493,,Ciências da Saúde
0034-7507,,Ciências da Saúde
0034-7515,,Ciências da Saúde
0034-7523,,Ciências da Saúde
0034-7590,,Ciências Sociais Aplicadas
0034-7612,,Ciências Sociais Aplicadas
0034-7701,,Ciências Humanas
0034-7744,,Ciências Biológicas
0034-7973,,Ciências da Saúde
0034-8309,,Ciências Humanas
0034-8376,,Ciências da Saúde
0034-8597,,Ciências da Saúde
0034-8910,,Ciências da Saúde
0034-9887,,Ciências da Saúde
0035-001X,,Ciências Exatas e da Terra
0035-0052,,Ciências da Saúde
0036-3634,,Ciências da Saúde
0036-4665,,Ciências Biológicas
0036-4665,,Ciências da Saúde
0037-8054,,Ciências Sociais Aplicadas
0037-8054,,Ciências da Saúde
0037-8682,,Ciências da Saúde
0038-2353,,Ciências Agrárias
0038-2353,,Ciências Biológicas
0038-2353,,Ciências Exatas e da Terra
0038-2353,,Ciências Humanas
0038-2353,,Engenharias
0038-2361,,Ciências da Saúde
0040-2915,,Ciências Humanas
0040-2915,,Ciências Sociais Aplicadas
0041-4751,,"Linguística, Letras e Artes"
0041-4751,,Ciências Humanas
0041-4751,,Ciências Sociais Aplicadas
0041-476X,,"Linguística, Letras e Artes"
0041-6932,,Ciências Exatas e da Terra
0041-8633,,Ciências Humanas
0041-8781,,Ciências da Saúde
0041-9060,,Ciências Sociais Aplicadas
0044-5967,,Ciências Agrárias
0044-5967,,Ciências Biológicas
0044-5967,,Ciências Exatas e da Terra
0044-5967,,Ciências da Saúde
0045-9178,,Ciências da Saúde
0047-2085,,Ciências da Saúde
0048-7732,,Ciências da Saúde
0049-3449,,Ciências Humanas
0065-1737,,Ciências Biológicas
0066-782X,,Ciências da Saúde
0071-1276,,Ciências Agrárias
0071-1675,,Ciências Humanas
0071-1713,,Ciências Humanas
0073-3407,,Ciências Biológicas
0073-4721,,Ciências Biológicas
0074-0276,,Ciências Biológicas
0074-0276,,Ciências da Saúde
0075-5222,,Ciências Biológicas
0075-5222,,Ciências da Saúde
0075-6458,,Ciências Biológicas
0080-2107,,Ciências Sociais Aplicadas
0080-6234,,Ciências da Saúde
0084-5906,,Ciências Biológicas
0085-5626,,Ciências Biológicas
0100-0683,,Ciências Agrárias
0100-1574,,Ciências Humanas
0100-1965,,Ciências Sociais Aplicadas
0100-204X,,Ciências Agrárias
0100-2945,,Ciências Agrárias
